
 ПРОТОКОЛ №2            27-05-2018 09:41:06
 -------------------------------------------------------------------------------
 Оператор:   [ТЕСТ РУЧНОЙ №4]
 Мишень:     [1]
 -------------------------------------------------------------------------------
 Номер      Отметка      Область     Положение X   Положение Y    Cтатус
 пробоины   времени      попадания                                управления
 -------------------------------------------------------------------------------
   1	  00:00:09:9	 5	     265    	   -325	          0
   2	  00:00:10:9	 5	     480    	   -465	          0
   3	  00:00:11:6	 5	     360    	   -465	          0
   4	  00:00:12:5	 5	     355    	   -230	          0
   5	  00:00:13:5	 5	     370    	   -345	          0
   6	  00:00:14:3	 5	     320    	   -375	          0
   7	  00:00:15:0	 5	     225    	   -420	          0
   8	  00:00:15:6	 5	     380    	   -515	          0
   9	  00:00:16:3	 5	     465    	   -405	          0
   10	  00:00:16:8	 5	     525    	   -330	          0
   11	  00:00:17:5	 5	     325    	   -250	          0
   12	  00:00:18:0	 5	     235    	   -305	          0
   13	  00:00:18:6	 5	     220    	   -490	          0
   14	  00:00:19:1	 5	     325    	   -420	          0
   15	  00:00:19:8	 5	     310    	   -375	          0
   16	  00:00:20:3	 5	     325    	   -250	          0
   17	  00:00:20:9	 5	     240    	   -355	          0
   18	  00:00:21:4	 5	     295    	   -505	          0
   19	  00:00:22:0	 5	     320    	   -535	          0
   20	  00:00:22:5	 5	     250    	   -425	          0
   21	  00:00:23:2	 5	     535    	   -425	          0
   22	  00:00:23:9	 5	     280    	   -320	          0
   23	  00:00:24:6	 5	     215    	   -320	          0
   24	  00:00:25:3	 5	     110    	   -260	          0
   25	  00:00:25:9	 5	     325    	   -150	          0
   26	  00:00:26:5	 5	     480    	   -370	          0
   27	  00:00:26:9	 5	     605    	   -395	          0
   28	  00:00:27:4	 5	     605    	   -540	          0
   29	  00:00:27:9	 5	     515    	   -620	          0
   30	  00:00:28:2	 5	     230    	   -485	          0
   31	  00:00:28:4	 5	     150    	   -370	          0
   32	  00:00:28:6	 5	     150    	   -335	          0
   33	  00:00:29:1	 5	     225    	   -265	          0
   34	  00:00:29:3	 5	     445    	   -325	          0
   35	  00:00:29:7	 5	     575    	   -455	          0
   36	  00:00:30:6	 5	     700    	   -395	          0
   37	  00:00:31:9	 5	     495    	   -455	          0
   38	  00:00:32:5	 5	     225    	   -380	          0
   39	  00:00:32:9	 5	     170    	   -235	          0
   40	  00:00:33:1	 5	     360    	   -270	          0
   41	  00:00:33:5	 5	     505    	   -360	          0
   42	  00:00:33:8	 5	     400    	   -420	          0
   43	  00:00:34:1	 5	     170    	   -395	          0
   44	  00:00:34:3	 5	     155    	   -240	          0
   45	  00:00:34:7	 5	     310    	   -200	          0
   46	  00:00:34:9	 5	     385    	   -355	          0
   47	  00:00:35:2	 5	     265    	   -410	          0
   48	  00:00:35:6	 5	     115    	   -295	          0
   49	  00:00:35:9	 5	     230    	   -275	          0
   50	  00:00:36:1	 5	     345    	   -370	          0
   51	  00:00:36:3	 5	     315    	   -435	          0
   52	  00:00:36:6	 5	     70    	   -450	          0
   53	  00:00:37:1	 5	     145    	   -300	          0
   54	  00:00:37:3	 5	     385    	   -280	          0
   55	  00:00:37:6	 5	     640    	   -345	          0
   56	  00:00:37:8	 5	     730    	   -295	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
   *	  00:00:00:0	 0	     0	           0	          0
